No.,TITLE,AUTHOR,ACCESSION NO.,CALL NUMBER,DATE ACQUIRED,Summary,Keywords,General_Category,Sub_Category,Like,Dislike
742,Dapat ba tayong magdusa?,"Licarte, Berna",3051kh,KH Fic L616d 1994,4-Jun-97,"""Dalawang Dagang Bulag"" by Rodolfo Desuasido is a Filipino play that explores themes of power, corruption, and survival in a socio-political context. The narrative centers on two characters, symbolized as blind mice, who navigate the complexities and moral challenges within their environment. The play delves into the human condition, exposing the dark sides of ambition and the consequences of choices made in pursuit of personal gain.","power, corruption, survival, morality, ambition",Fiction,Drama,10,10
743,"Dark victory in the United States, structural adjustment...","Bello, Warden",3652kh,KH320.973 B417d,,,,Politics,,16,16
918,Handbook on obligations & contract,"Nolledo, Jose N.",2485kh,KH346.59907 N721h 1993,6-Jun-97,"""Handbook of Psychological Tests: Theories, Administration"" by E.M. De Jesus provides a comprehensive overview of various psychological testing methods. The book delves into the theoretical foundations of psychological assessments, offering detailed guidance on the administration and interpretation of these tests. It serves as an essential resource for students and professionals in psychology, helping them understand the intricacies of psychological evaluation and its applications in different contexts.","psychological tests, theories, administration, evaluation, interpretation",Law,Psychology,20,17
745,The diary of a french officer on the war in the Philippines,Lieutenant X,2671kh,KH921 L624d 1994,6-Jun-97,"""Dark Victory: The United States, Structural Adjustment, and Global Poverty"" by Walden Bello examines the impact of structural adjustment policies imposed by international financial institutions on developing countries. The book critiques how these policies, often influenced by U.S. interests, have led to increased poverty and inequality while undermining local economies and sovereignty. Bello provides a detailed analysis of the global economic order and argues for alternative approaches to development that prioritize social equity and environmental sustainability.","structural adjustment, global poverty, U.S. influence, economic policy, development",History,Non-Fiction,20,8
746,Dictionary of economic terms,"Andres, Tomas Q.",3641kh,KH330.03 Ar25d,,,,Business & Career,,5,19
747,A dictionary of the crisis in the Philippine Ecosystem,"Segovia, Raul",3648kh,KH574.509599 Se37d 1995,,"""The Diary of a French Officer on the War in the Philippines"" by Lieutenant X presents a firsthand account of the experiences and observations of a French military officer during his time in the Philippines. Through personal entries, the diary captures the realities of war, the challenges faced by soldiers, and the interactions with local communities. It provides a unique perspective on the historical conflict, shedding light on the cultural, social, and political nuances of the period.","diary, French officer, Philippines, war, firsthand account",Non-Fiction,History,14,14
748,"Dikya, the jellyfish (& why it has no bones)","Chorengel, Marla Yotoko",3284kh,KH808.899282 Ch456d 1991,,"""Dictionary of Economic Terms"" by Tomas Q. Andres is a comprehensive reference guide that provides clear and concise definitions of various economic concepts and terms. It serves as an invaluable resource for students, professionals, and anyone interested in gaining a better understanding of economic language and principles.","economics, reference, definitions, concepts, guide",Non-Fiction,Reference,7,14
749,"Si Dilat, si kindat, si kurap, si Pikit: ang paghahanap sa talang marikit","Alonzo, Roberto",3597kh,KH499.21186 A172d 1986,,"""A Dictionary of the Crisis in the Philippine Ecosystem"" by Raul Segovia offers a comprehensive exploration of the environmental challenges facing the Philippines. The book presents an alphabetical compilation of key terms, concepts, and issues related to the country's ecological difficulties. It serves as both an educational resource and a call to action, highlighting the urgent need for conservation efforts and sustainable practices to protect the diverse and fragile ecosystems in the region.","ecosystem, conservation, Philippines, environment, sustainability",Non-Fiction,Non-Fiction,15,12
750,Directory of NGO's for migrants in Asia,"Scalabrini, Migration Center",4436kh,KH331.544 Sc42d 1994,,"""Dikya, the Jellyfish (& Why It Has No Bones)"" by Marla Yotoko Chorengel is an engaging children's book that explores the fascinating world of jellyfish. It combines educational content with captivating storytelling, explaining the unique characteristics of jellyfish, particularly their lack of bones, and their role in the marine ecosystem. The book is designed to spark curiosity and appreciation for marine life among young readers.","jellyfish, marine life, children's book, education, ecosystem",Children,Children'S Educational ,6,20
751,Discrepant histories: translocal essay on Filipino Culture,,2502kh,KH899.2104 D631 1995,,"""Si Dilat, si Kindat, si Kurap, si Pikit: Ang Paghahanap sa Talang Marikit"" by Roberto Alonzo is a captivating tale that follows the journey of four friends, each with unique perspectives and personalities, as they embark on a quest to find a mystical star. Through their adventures, they encounter various challenges and learn valuable lessons about friendship, courage, and self-discovery.","friendship, quest, adventure, self-discovery, mystical",Fiction,Fiction,11,6
752,Displaying Filipinos: a photography & colonialism,"Vergara, Benito",3782kh,959.903 V586d 1995,,"The ""Directory of NGOs for Migrants in Asia"" by Scalabrini Migration Center is a comprehensive resource that provides detailed information about various non-governmental organizations across Asia that offer support and services to migrants. This directory aims to facilitate connections and provide essential resources for migrants in need, covering aspects such as legal aid, health services, and advocacy.","NGOs, migrants, Asia, directory, support",Non-Fiction,Reference,18,7
753,Diversity of flora in the Philippine Mangrove ecosystem,"Zamora, Precillano",3761kh,KH658.407 Z49d 1994,,"""Discrepant Histories: Translocal Essays on Filipino Culture"" is a collection of essays that explores the complex and multifaceted nature of Filipino identity and culture. The book delves into the historical, social, and cultural contexts that have shaped the Philippines, emphasizing the diverse and often contradictory influences that have contributed to the nation's cultural landscape. By examining various aspects of Filipino life, from colonial history to contemporary social issues, the essays provide a nuanced understanding of the country's ongoing cultural evolution.","Filipino culture, identity, colonial history, translocal, cultural evolution",Non-Fiction,Cultural,8,11
